Артикул;Наименование товара;Название ТР (ТС);ТК;Признак-категория;Доступное кол-во;Цена 1;Процент НДС;Скидка;Экономия в руб.;Цена со скидкой
199120;Журнал по охране труда А4 50л горизонт 20шт/уп;ТР Бумажная продукция;Бухгалтерские бланки, книги;D;214;170;20;0,15;25,5;144,5
889675;Книга Отзывов и предложений,А5 обложка картон. офсетный блок,48л;ТР Бумажная продукция;Бухгалтерские бланки, книги;О;729;165;20;0,15;24,75;140,25
889675;Книга Отзывов и предложений,А5 обложка картон. офсетный блок,48л;ТР Бумажная продукция;Бухгалтерские бланки, книги;О;729;165;20;0,15;24,75;140,25
395878;Журнал по пожарной безопасности А4 50л;ТР Бумажная продукция;Бухгалтерские бланки, книги;D;1036;247;20;0,15;37,05;209,95
395882;Журнал по технике безопасности А4 50л;ТР Бумажная продукция;Бухгалтерские бланки, книги;О;454;247;20;0,15;37,05;209,95
14721;Книга учета амбарная в клетку 96л.обл.плотн.картон г/б;ТР Бумажная продукция;Бухгалтерские бланки, книги;О;-415;222;20;0,15;33,3;188,7
585;Книга учета 96л. в линейку, обл.картон;ТР Бумажная продукция;Бухгалтерские бланки, книги;О;196;175;20;0,15;26,25;148,75
969507;Тетрадь общая А5,48л,кл,скоб,блок-офсет-2 Attache Galaxy син/зел/жел/красс;ТР Бумажная продукция;Бумажная продукция;D;5995;52,1;20;0,15;7,815;44,285
916920;Тетрадь общая А5,96л,клет,скреп,обл.бумвинил,блок офсет-2 Синяя;ТР Бумажная продукция;Бумажная продукция;D;2010;63,5;20;0,15;9,525;53,975
129819;Тетрадь общая 48л,клет,А4,спир,обл.карт,Графо;ТР Бумажная продукция;Бумажная продукция;D;1190;143;20;0,15;21,45;121,55
1566843;Календарь настенный 3-х блочный ТРИО СТАНДАРТ на 2023 год, К214;ТР Бумажная продукция;Календари;П;0;134;20;0,15;20,1;113,9
1673897;Конверт Attache EconomyС5 (162х229мм) стрип 1000шт/уп;ТР Бумажная продукция;Конверты, пакеты;D;487;2694;20;0,15;404,1;2289,9
257246;Конверт в упаковке ECOPOST E65 стрип 110х220, 80г 1000 шт/уп/1786;ТР Бумажная продукция;Конверты, пакеты;О;547;2080;20;0,15;312;1768
257246;Конверт в упаковке ECOPOST E65 стрип 110х220, 80г 1000 шт/уп/1786;ТР Бумажная продукция;Конверты, пакеты;О;547;2080;20;0,15;312;1768
257247;Конверт в упаковке ECOPOST С4 стрип 229х324 90г 250 шт/уп./3662;ТР Бумажная продукция;Конверты, пакеты;О;967;1939;20;0,15;290,85;1648,15
257247;Конверт в упаковке ECOPOST С4 стрип 229х324 90г 250 шт/уп./3662;ТР Бумажная продукция;Конверты, пакеты;О;967;1939;20;0,15;290,85;1648,15
891160;Конверт Куда-Кому С5 стрип ECOPOST 162х229 1000шт/уп;ТР Бумажная продукция;Конверты, пакеты;О;160;2969;20;0,15;445,35;2523,65
396998;Игла для прошивки документов Комус 100/125  мм 3 шт./уп;ТР Товары для торговли;Товары для инкассации и опломбирования;О;2735;89;20;0;0;89
1088348;Нить прошивная лавсановая ЛШ 180 белая (1000 метров), упаковка пленка;ТР Товары для торговли;Товары для инкассации и опломбирования;D;8461;207;20;0;0;207
41675;Пломба свинцовая (упаковка 1кг);ТР Товары для торговли;Товары для инкассации и опломбирования;О;5012;477;20;0;0;477
374715;Подушка для смачивания пальцев круглая;ТР Товары для торговли;Товары для инкассации и опломбирования;О;1485;51;20;0;0;51
1805;Резинка универсальная 50г диам.60мм. цвет ассорти;ТР Товары для торговли;Товары для инкассации и опломбирования;О;113079;51;20;0;0;51
1442;Резинка универсальная 100г диам.60мм. цвет ассорти;ТР Товары для торговли;Товары для инкассации и опломбирования;О;70661;72;20;0,25;18;54
72157;Этикет-лента 26х16 оранж прям 1000шт/рул 10рул/уп;ТР Товары для торговли;Этикетки и оборудование для торговой маркировки;О;-36;537;20;0;0;537
133408;Карандаш чернографитный Attache HB с ластиком;ТР Письменные принадлежности;Карандаши;D;221389;8,5;20;0,2;1,7;6,8
1072653;Корректирующая жидкость 20мл Школьник на водной основе, кисточка;ТР Письменные принадлежности;Корректирующие средства;D;2604;42,8;20;0,2;8,56;34,24
1450065;Ластик Луч Классика 26x18x8 мм белый К1;ТР Письменные принадлежности;Ластики;D;659;14,5;20;0,2;2,9;11,6
1202373;Линейка 30см Attache Economy пластик цвет прозр ассорти (крас,син,зел,оран);ТР Письменные принадлежности;Линейки;D;10621;29,4;20;0,39;11,466;17,934
